Issue Key;Created Date;Коммуникация направлена;Новая;Отклонен;Размещено в БЗ;Согласовано ЦПК;Согласовано с бизнесом;Согласовано с маркетингом;ХОЛД;Resolution Date;T2M (days)
CAMPEIGN-38600;2025-09-11 15:34:24;54.2319;4.6654;0.0;0.7596;0.9726;1.2104;0.0348;0.0;2025-11-12 12:33:57;61.8746875
CAMPEIGN-38601;2025-09-11 21:27:04;40.9236;6.518;0.0;0.0004;13.226;0.2365;0.7253;0.0;2025-11-12 12:33:56;61.62976851851852
CAMPEIGN-38604;2025-09-11 22:07:33;40.9239;6.49;0.0;0.0003;13.2258;0.2375;0.7241;0.0;2025-11-12 12:33:56;61.601655092592594
CAMPEIGN-38605;2025-09-11 22:41:00;0.0;6.467;54.8359;0.0;0.0;0.2755;0.0;0.0;2025-11-12 12:33:56;61.57842592592593
CAMPEIGN-38622;2025-09-12 09:52:43;52.55;3.2085;0.0;0.7453;3.6775;0.8179;0.1128;0.0;2025-11-12 12:33:55;61.11194444444445
CAMPEIGN-38654;2025-09-15 11:09:34;41.21;9.9288;0.0;0.0009;5.9192;0.9864;0.0132;0.0;2025-11-12 12:33:55;58.05857638888889
CAMPEIGN-38655;2025-09-15 11:31:08;23.0521;8.1;0.0;0.0178;0.001;0.05789999999999999;0.0408;26.774;2025-11-12 12:33:54;58.04358796296296
CAMPEIGN-38666;2025-09-15 13:18:20;0.0;2.0528;54.1722;0.0;0.0;0.0;0.0;1.7442;2025-11-12 12:33:53;57.96913194444444
CAMPEIGN-38667;2025-09-15 13:27:44;0.0;2.0469;54.1711;0.0;0.0;0.0;0.0;1.7446;2025-11-12 12:33:53;57.962604166666665
CAMPEIGN-38677;2025-09-16 06:04:29;6.2164;1.3555;0.0;0.0189;30.9688;5.0087;0.0248;13.6773;2025-11-12 12:33:52;57.27040509259259
CAMPEIGN-38678;2025-09-16 06:56:48;12.3328;2.5558;0.0;0.0194;20.7209;5.7827;0.0206;15.8019;2025-11-12 12:33:51;57.2340625
