Employee Department;Field;Count
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Соисполнитель;2528
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;summary;2229
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Тип запроса;1412
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Дата запуска;1320
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Бизнес заказчик;754
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Исполнитель;169
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Rank;146
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;description;105
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;"Дата перевода в статус ""В работе""";90
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Comment;86
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Ссылка в Базе знаний;54
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;Link;53
